tipo;dn;dn2;dn3;nps;od_mm;A;B;C;M;O;K_dim;E;E1;H;theta_deg;fT;K_fT;K;K_contraccion;K_expansion;referencia_K;nota
Codo 45° LR;450;;;18;457;;286.0;;;;;;;;;0.012;16;0.192;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;500;;;20;508;762.0;;;;;;;;;;0.012;14;0.168;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;500;;;20;508;;318.0;;;;;;;;;0.012;16;0.192;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;550;;;22;559;838.0;;;;;;;;;;0.012;14;0.168;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;550;;;22;559;;343.0;;;;;;;;;0.012;16;0.192;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;600;;;24;610;914.0;;;;;;;;;;0.012;14;0.168;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;600;;;24;610;;381.0;;;;;;;;;0.012;16;0.192;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;650;;;26;660;991.0;;;;;;;;;;0.0112;14;0.157;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;650;;;26;660;;405.0;;;;;;;;;0.0112;16;0.179;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;700;;;28;711;1067.0;;;;;;;;;;0.0111;14;0.155;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;700;;;28;711;;438.0;;;;;;;;;0.0111;16;0.178;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;750;;;30;762;1143.0;;;;;;;;;;0.011;14;0.154;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;750;;;30;762;;470.0;;;;;;;;;0.011;16;0.176;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;800;;;32;813;1219.0;;;;;;;;;;0.0108;14;0.151;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;800;;;32;813;;502.0;;;;;;;;;0.0108;16;0.173;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;850;;;34;864;1295.0;;;;;;;;;;0.0107;14;0.15;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;850;;;34;864;;533.0;;;;;;;;;0.0107;16;0.171;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;900;;;36;914;1372.0;;;;;;;;;;0.0106;14;0.148;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;900;;;36;914;;565.0;;;;;;;;;0.0106;16;0.17;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;950;;;38;965;1448.0;;;;;;;;;;0.0105;14;0.147;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;950;;;38;965;;600.0;;;;;;;;;0.0105;16;0.168;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;1000;;;40;1016;1524.0;;;;;;;;;;0.0104;14;0.146;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;1000;;;40;1016;;632.0;;;;;;;;;0.0104;16;0.166;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;1050;;;42;1067;1600.0;;;;;;;;;;0.0103;14;0.144;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;1050;;;42;1067;;660.0;;;;;;;;;0.0103;16;0.165;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;1100;;;44;1118;1676.0;;;;;;;;;;0.0102;14;0.143;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;1100;;;44;1118;;695.0;;;;;;;;;0.0102;16;0.163;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;1150;;;46;1168;1753.0;;;;;;;;;;0.0101;14;0.141;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;1150;;;46;1168;;727.0;;;;;;;;;0.0101;16;0.162;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;1200;;;48;1219;1829.0;;;;;;;;;;0.01;14;0.14;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;1200;;;48;1219;;759.0;;;;;;;;;0.01;16;0.16;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° SR;25;;;1;33.4;25.0;;;;;;;;;;0.023;20;0.46;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;32;;;1-1/4;42.2;32.0;;;;;;;;;;0.022;20;0.44;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;40;;;1-1/2;48.3;38.0;;;;;;;;;;0.021;20;0.42;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;50;;;2;60.3;51.0;;;;;;;;;;0.019;20;0.38;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;65;;;2-1/2;73.0;64.0;;;;;;;;;;0.018;20;0.36;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;80;;;3;88.9;76.0;;;;;;;;;;0.018;20;0.36;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;90;;;3-1/2;101.6;89.0;;;;;;;;;;0.018;20;0.36;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;100;;;4;114.3;102.0;;;;;;;;;;0.017;20;0.34;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;125;;;5;141.3;127.0;;;;;;;;;;0.016;20;0.32;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;150;;;6;168.3;152.0;;;;;;;;;;0.015;20;0.3;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;200;;;8;219.1;203.0;;;;;;;;;;0.014;20;0.28;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;250;;;10;273.0;254.0;;;;;;;;;;0.014;20;0.28;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;300;;;12;323.8;305.0;;;;;;;;;;0.013;20;0.26;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;350;;;14;355.6;356.0;;;;;;;;;;0.013;20;0.26;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;400;;;16;406.4;406.0;;;;;;;;;;0.013;20;0.26;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;450;;;18;457;457.0;;;;;;;;;;0.012;20;0.24;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;500;;;20;508;508.0;;;;;;;;;;0.012;20;0.24;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;550;;;22;559;559.0;;;;;;;;;;0.012;20;0.24;;;Crane A-24: 20 fT (r/d = 1);
Codo 90° SR;600;;;24;610;610.0;;;;;;;;;;0.012;20;0.24;;;Crane A-24: 20 fT (r/d = 1);
Retorno 180° LR;15;;;1/2;21.3;;;;;76.0;48.0;;;;;0.027;22.2;0.599;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;20;;;3/4;26.7;;;;;76.0;51.0;;;;;0.025;22.2;0.555;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;25;;;1;33.4;;;;;76.0;56.0;;;;;0.023;22.2;0.511;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;32;;;1-1/4;42.2;;;;;95.0;70.0;;;;;0.022;22.2;0.488;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;40;;;1-1/2;48.3;;;;;114.0;83.0;;;;;0.021;22.2;0.466;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;50;;;2;60.3;;;;;152.0;106.0;;;;;0.019;22.2;0.422;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;65;;;2-1/2;73.0;;;;;190.0;132.0;;;;;0.018;22.2;0.4;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;80;;;3;88.9;;;;;229.0;159.0;;;;;0.018;22.2;0.4;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;90;;;3-1/2;101.6;;;;;267.0;184.0;;;;;0.018;22.2;0.4;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;100;;;4;114.3;;;;;305.0;210.0;;;;;0.017;22.2;0.377;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;125;;;5;141.3;;;;;381.0;262.0;;;;;0.016;22.2;0.355;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;150;;;6;168.3;;;;;457.0;313.0;;;;;0.015;22.2;0.333;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;200;;;8;219.1;;;;;610.0;414.0;;;;;0.014;22.2;0.311;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;250;;;10;273.0;;;;;762.0;518.0;;;;;0.014;22.2;0.311;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;300;;;12;323.8;;;;;914.0;619.0;;;;;0.013;22.2;0.289;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;350;;;14;355.6;;;;;1067.0;711.0;;;;;0.013;22.2;0.289;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;400;;;16;406.4;;;;;1219.0;813.0;;;;;0.013;22.2;0.289;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;450;;;18;457;;;;;1372.0;914.0;;;;;0.012;22.2;0.266;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;500;;;20;508;;;;;1524.0;1016.0;;;;;0.012;22.2;0.266;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;550;;;22;559;;;;;1676.0;1118.0;;;;;0.012;22.2;0.266;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° LR;600;;;24;610;;;;;1829.0;1219.0;;;;;0.012;22.2;0.266;;;Crane A-24: K_B, n = 2, r/d = 1,5;
Retorno 180° SR;25;;;1;33.4;;;;;51.0;41.0;;;;;0.023;30.8;0.708;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;32;;;1-1/4;42.2;;;;;64.0;52.0;;;;;0.022;30.8;0.678;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;40;;;1-1/2;48.3;;;;;76.0;62.0;;;;;0.021;30.8;0.647;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;50;;;2;60.3;;;;;102.0;81.0;;;;;0.019;30.8;0.585;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;65;;;2-1/2;73.0;;;;;127.0;100.0;;;;;0.018;30.8;0.554;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;80;;;3;88.9;;;;;152.0;121.0;;;;;0.018;30.8;0.554;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;90;;;3-1/2;101.6;;;;;178.0;140.0;;;;;0.018;30.8;0.554;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;100;;;4;114.3;;;;;203.0;159.0;;;;;0.017;30.8;0.524;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;125;;;5;141.3;;;;;254.0;197.0;;;;;0.016;30.8;0.493;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;150;;;6;168.3;;;;;305.0;237.0;;;;;0.015;30.8;0.462;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;200;;;8;219.1;;;;;406.0;313.0;;;;;0.014;30.8;0.431;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;250;;;10;273.0;;;;;508.0;391.0;;;;;0.014;30.8;0.431;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;300;;;12;323.8;;;;;610.0;467.0;;;;;0.013;30.8;0.4;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;350;;;14;355.6;;;;;711.0;533.0;;;;;0.013;30.8;0.4;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;400;;;16;406.4;;;;;813.0;610.0;;;;;0.013;30.8;0.4;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;450;;;18;457;;;;;914.0;686.0;;;;;0.012;30.8;0.37;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;500;;;20;508;;;;;1016.0;762.0;;;;;0.012;30.8;0.37;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;550;;;22;559;;;;;1118.0;838.0;;;;;0.012;30.8;0.37;;;Crane A-24: K_B, n = 2, r/d = 1;
Retorno 180° SR;600;;;24;610;;;;;1219.0;914.0;;;;;0.012;30.8;0.37;;;Crane A-24: K_B, n = 2, r/d = 1;
Te recta – paso directo;15;;;1/2;21.3;;;25.0;25.0;;;;;;;0.027;20;0.54;;;Crane A-24: 20 fT;
Te recta – derivación;15;;;1/2;21.3;;;25.0;25.0;;;;;;;0.027;60;1.62;;;Crane A-24: 60 fT;
Te recta – paso directo;20;;;3/4;26.7;;;29.0;29.0;;;;;;;0.025;20;0.5;;;Crane A-24: 20 fT;
Te recta – derivación;20;;;3/4;26.7;;;29.0;29.0;;;;;;;0.025;60;1.5;;;Crane A-24: 60 fT;
Te recta – paso directo;25;;;1;33.4;;;38.0;38.0;;;;;;;0.023;20;0.46;;;Crane A-24: 20 fT;
Te recta – derivación;25;;;1;33.4;;;38.0;38.0;;;;;;;0.023;60;1.38;;;Crane A-24: 60 fT;
Te recta – paso directo;32;;;1-1/4;42.2;;;48.0;48.0;;;;;;;0.022;20;0.44;;;Crane A-24: 20 fT;
Te recta – derivación;32;;;1-1/4;42.2;;;48.0;48.0;;;;;;;0.022;60;1.32;;;Crane A-24: 60 fT;
Te recta – paso directo;40;;;1-1/2;48.3;;;57.0;57.0;;;;;;;0.021;20;0.42;;;Crane A-24: 20 fT;
Te recta – derivación;40;;;1-1/2;48.3;;;57.0;57.0;;;;;;;0.021;60;1.26;;;Crane A-24: 60 fT;
Te recta – paso directo;50;;;2;60.3;;;64.0;64.0;;;;;;;0.019;20;0.38;;;Crane A-24: 20 fT;
Te recta – derivación;50;;;2;60.3;;;64.0;64.0;;;;;;;0.019;60;1.14;;;Crane A-24: 60 fT;
Te recta – paso directo;65;;;2-1/2;73.0;;;76.0;76.0;;;;;;;0.018;20;0.36;;;Crane A-24: 20 fT;
Te recta – derivación;65;;;2-1/2;73.0;;;76.0;76.0;;;;;;;0.018;60;1.08;;;Crane A-24: 60 fT;
Te recta – paso directo;80;;;3;88.9;;;86.0;86.0;;;;;;;0.018;20;0.36;;;Crane A-24: 20 fT;
Te recta – derivación;80;;;3;88.9;;;86.0;86.0;;;;;;;0.018;60;1.08;;;Crane A-24: 60 fT;
Te recta – paso directo;90;;;3-1/2;101.6;;;95.0;95.0;;;;;;;0.018;20;0.36;;;Crane A-24: 20 fT;
Te recta – derivación;90;;;3-1/2;101.6;;;95.0;95.0;;;;;;;0.018;60;1.08;;;Crane A-24: 60 fT;
Te recta – paso directo;100;;;4;114.3;;;105.0;105.0;;;;;;;0.017;20;0.34;;;Crane A-24: 20 fT;
Te recta – derivación;100;;;4;114.3;;;105.0;105.0;;;;;;;0.017;60;1.02;;;Crane A-24: 60 fT;
Te recta – paso directo;125;;;5;141.3;;;124.0;124.0;;;;;;;0.016;20;0.32;;;Crane A-24: 20 fT;
Te recta – derivación;125;;;5;141.3;;;124.0;124.0;;;;;;;0.016;60;0.96;;;Crane A-24: 60 fT;
Te recta – paso directo;150;;;6;168.3;;;143.0;143.0;;;;;;;0.015;20;0.3;;;Crane A-24: 20 fT;
Te recta – derivación;150;;;6;168.3;;;143.0;143.0;;;;;;;0.015;60;0.9;;;Crane A-24: 60 fT;
Te recta – paso directo;200;;;8;219.1;;;178.0;178.0;;;;;;;0.014;20;0.28;;;Crane A-24: 20 fT;
Te recta – derivación;200;;;8;219.1;;;178.0;178.0;;;;;;;0.014;60;0.84;;;Crane A-24: 60 fT;
Te recta – paso directo;250;;;10;273.0;;;216.0;216.0;;;;;;;0.014;20;0.28;;;Crane A-24: 20 fT;
Te recta – derivación;250;;;10;273.0;;;216.0;216.0;;;;;;;0.014;60;0.84;;;Crane A-24: 60 fT;
Te recta – paso directo;300;;;12;323.8;;;254.0;254.0;;;;;;;0.013;20;0.26;;;Crane A-24: 20 fT;
Te recta – derivación;300;;;12;323.8;;;254.0;254.0;;;;;;;0.013;60;0.78;;;Crane A-24: 60 fT;
Te recta – paso directo;350;;;14;355.6;;;279.0;279.0;;;;;;;0.013;20;0.26;;;Crane A-24: 20 fT;
Te recta – derivación;350;;;14;355.6;;;279.0;279.0;;;;;;;0.013;60;0.78;;;Crane A-24: 60 fT;
Te recta – paso directo;400;;;16;406.4;;;305.0;305.0;;;;;;;0.013;20;0.26;;;Crane A-24: 20 fT;
Te recta – derivación;400;;;16;406.4;;;305.0;305.0;;;;;;;0.013;60;0.78;;;Crane A-24: 60 fT;
Te recta – paso directo;450;;;18;457;;;343.0;343.0;;;;;;;0.012;20;0.24;;;Crane A-24: 20 fT;
Te recta – derivación;450;;;18;457;;;343.0;343.0;;;;;;;0.012;60;0.72;;;Crane A-24: 60 fT;
Te recta – paso directo;500;;;20;508;;;381.0;381.0;;;;;;;0.012;20;0.24;;;Crane A-24: 20 fT;
Te recta – derivación;500;;;20;508;;;381.0;381.0;;;;;;;0.012;60;0.72;;;Crane A-24: 60 fT;
Te recta – paso directo;550;;;22;559;;;419.0;419.0;;;;;;;0.012;20;0.24;;;Crane A-24: 20 fT;
Te recta – derivación;550;;;22;559;;;419.0;419.0;;;;;;;0.012;60;0.72;;;Crane A-24: 60 fT;
Te recta – paso directo;600;;;24;610;;;432.0;432.0;;;;;;;0.012;20;0.24;;;Crane A-24: 20 fT;
Te recta – derivación;600;;;24;610;;;432.0;432.0;;;;;;;0.012;60;0.72;;;Crane A-24: 60 fT;
Te recta – paso directo;650;;;26;660;;;495.0;495.0;;;;;;;0.0112;20;0.224;;;Crane A-24: 20 fT;
Te recta – derivación;650;;;26;660;;;495.0;495.0;;;;;;;0.0112;60;0.672;;;Crane A-24: 60 fT;
Te recta – paso directo;700;;;28;711;;;521.0;521.0;;;;;;;0.0111;20;0.222;;;Crane A-24: 20 fT;
Te recta – derivación;700;;;28;711;;;521.0;521.0;;;;;;;0.0111;60;0.666;;;Crane A-24: 60 fT;
Te recta – paso directo;750;;;30;762;;;559.0;559.0;;;;;;;0.011;20;0.22;;;Crane A-24: 20 fT;
Te recta – derivación;750;;;30;762;;;559.0;559.0;;;;;;;0.011;60;0.66;;;Crane A-24: 60 fT;
Te recta – paso directo;800;;;32;813;;;597.0;597.0;;;;;;;0.0108;20;0.216;;;Crane A-24: 20 fT;
Te recta – derivación;800;;;32;813;;;597.0;597.0;;;;;;;0.0108;60;0.648;;;Crane A-24: 60 fT;
Te recta – paso directo;850;;;34;864;;;635.0;635.0;;;;;;;0.0107;20;0.214;;;Crane A-24: 20 fT;
Te recta – derivación;850;;;34;864;;;635.0;635.0;;;;;;;0.0107;60;0.642;;;Crane A-24: 60 fT;
Te recta – paso directo;900;;;36;914;;;673.0;673.0;;;;;;;0.0106;20;0.212;;;Crane A-24: 20 fT;
Te recta – derivación;900;;;36;914;;;673.0;673.0;;;;;;;0.0106;60;0.636;;;Crane A-24: 60 fT;
Te recta – paso directo;950;;;38;965;;;711.0;711.0;;;;;;;0.0105;20;0.21;;;Crane A-24: 20 fT;
Te recta – derivación;950;;;38;965;;;711.0;711.0;;;;;;;0.0105;60;0.63;;;Crane A-24: 60 fT;
Te recta – paso directo;1000;;;40;1016;;;749.0;749.0;;;;;;;0.0104;20;0.208;;;Crane A-24: 20 fT;
Te recta – derivación;1000;;;40;1016;;;749.0;749.0;;;;;;;0.0104;60;0.624;;;Crane A-24: 60 fT;
Te recta – paso directo;1050;;;42;1067;;;762.0;711.0;;;;;;;0.0103;20;0.206;;;Crane A-24: 20 fT;
Te recta – derivación;1050;;;42;1067;;;762.0;711.0;;;;;;;0.0103;60;0.618;;;Crane A-24: 60 fT;
Te recta – paso directo;1100;;;44;1118;;;813.0;762.0;;;;;;;0.0102;20;0.204;;;Crane A-24: 20 fT;
